station,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
6377,51.12,5.46,30
6380,50.54,5.46,113
6391,51.30,6.12,20
6400,51.05,2.39,7
6407,51.12,2.53,5
6408,51.14,2.55,9
6414,50.54,3.07,25
6418,51.21,3.12,9
6428,50.56,3.40,38
6431,51.11,3.48,8
6432,50.34,3.50,63
6434,50.59,3.49,15
6438,51.19,4.22,6
6439,51.05,4.31,11
6447,50.48,4.21,101
6449,50.27,4.26,188
6450,51.11,4.27,13
6451,50.54,4.32,55
6455,50.06,4.36,233
6456,50.14,4.39,290
6458,50.45,4.46,123
6459,50.35,4.41,157
6464,51.13,5.02,21
6465,51.00,5.04,54
6472,50.12,5.15,296
6476,50.02,5.24,557
6477,50.55,5.27,39
6478,50.39,5.27,181
6479,51.10,5.28,57
6481,50.56,5.30,63
6484,49.37,5.35,324
6490,50.29,5.55,477
6494,50.31,6.04,673
6496,50.29,6.11,567
6585,50.03,6.01,454
6589,49.39,6.08,235
6590,49.37,6.13,376
6597,49.48,6.27,244
6601,47.32,7.35,318
6602,47.21,7.21,440
6604,47.00,6.57,485
6605,47.08,7.03,1596
6606,47.03,7.04,431
